qid,query,domain_hint,retrieval_gt,answers,notes
donggu-0023,등록금 납부 방법,tuition,"deu_academic_84441_v002_chunk_024,deu_notice_85581_v002_chunk_001",등록금 납부 방법은 등록 관련 학칙 및 해당 학기 등록 안내 공지를 근거로 답변해야 합니다.,
donggu-0024,휴학 신청 기간,unknown,,,
donggu-0025,수강 변경 절차,course_registration,,,
donggu-0026,장학금 수혜 제한,scholarship,,,
donggu-0027,기숙사 퇴사 절차,dormitory,"static_562bd7b91fdb0fee_v001_chunk_001,static_56bd1d9f3eb3548a_v001_chunk_001",기숙사 퇴사 절차는 생활관 퇴사 안내와 중도퇴사 환불 규정을 근거로 답변해야 합니다.,
donggu-0028,졸업 요건 확인,graduation,,,
donggu-0029,등록금 연체 시 조치,tuition,,,
donggu-0030,휴학 중 등록금,tuition,,,
donggu-0031,수강신청 우선순위,course_registration,,,
donggu-0032,장학금 재심사,scholarship,,,
donggu-0033,기숙사 시설 이용,dormitory,,,
donggu-0034,졸업 증명서,graduation,,,
donggu-0035,등록금 고지서,tuition,,,
donggu-0036,휴학 취소 방법,unknown,"deu_academic_84441_v002_chunk_011,deu_academic_84441_v002_chunk_012","휴학 취소는 휴학, 복학, 학적 변경 관련 학칙 및 학사지원팀 안내를 근거로 답변해야 합니다.",
donggu-0037,수강 과목 검색,course_registration,,,
donggu-0038,장학금 지급 일정,scholarship,,,
donggu-0039,기숙사 신청 경쟁률,dormitory,,,
donggu-0040,졸업 프로젝트,graduation,,,
donggu-0041,등록금 감면,tuition,,,
donggu-0042,휴학 후 학적,unknown,,,
donggu-0043,수강 계획서 제출,course_registration,,,
donggu-0044,장학금 유형별 혜택,scholarship,,,
donggu-0045,기숙사 비용,dormitory,"static_56bd1d9f3eb3548a_v001_chunk_001,deu_scholarship_81842_v002_chunk_017,static_26d633279a2768ef_v001_chunk_001","기숙사 비용은 생활관 납부 내역, 모집 공지, 주거안정장학금 안내의 기숙사 비용 항목을 근거로 답변해야 합니다.",
donggu-0046,졸업 축하 행사,graduation,,,
donggu-0047,등록금 납부 확인,tuition,,,
donggu-0048,휴학 신청서 양식,unknown,,,
donggu-0049,수강신청 시스템,course_registration,,,
donggu-0050,장학금 신청 마감,scholarship,"deu_scholarship_81842_v002_chunk_001,deu_scholarship_81842_v002_chunk_002,deu_scholarship_81842_v002_chunk_005",장학금 신청 마감은 장학 공지의 신청 기간과 제출 마감일을 근거로 답변해야 합니다.,
donggu-0051,기숙사 입사 교육,dormitory,,,
donggu-0052,졸업 자격 심사,graduation,"deu_academic_84441_v002_chunk_013,deu_academic_84441_v002_chunk_017","졸업 자격 심사는 학칙의 졸업학점, 조기졸업, 수료 및 졸업 관련 조항을 근거로 답변해야 합니다.",
